,details
161,"{'Location': 'No. 22 Thilak Nagar Main Road Jayanagar,, Gottigere, Bangalore, India, 560041', 'overall_rating': '6.2', 'Name': 'FabHotel SRK Platinum Inn', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'it was worst stay”', 'Review_Body': ""I don't like the property because the times are not clean and there were cockroaches""}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing.'}, {'Review_Rating': '9.0', 'Review_Heading': 'Very comfortable. Extended checkout facility”', 'Review_Body': 'Right from breakfast spread to staff courtesy, big spacious rooms to room service to helping with pick up/ drop arrangements everything perfect. Great place to stay.'}, {'Review_Rating': '2.0', 'Review_Heading': 'Bad service.”', 'Review_Body': 'The hotel was not clean. There were cockroaches everywhere in the  hotel. There was no quick response as well from the staff.'}, {'Review_Rating': '5.0', 'Review_Heading': 'Below average hotel and dirty rooms and bathrooms”', 'Review_Body': 'Nothing to like as it was not good experience staying in this hotel.'}, {'Review_Rating': '9.0', 'Review_Heading': 'Superb”', 'Review_Body': 'I like the food and the ambience it was super pin drop silence 🔕\n\nNobody is bothering even if your volume is too high'}, {'Review_Rating': '1.0', 'Review_Heading': 'Worst stay ever”', 'Review_Body': 'Pathetic experience. No cleanliness throughout the hotel. No manners to provide even basic amenities. Even for toothpaste one needs to go and get it from outside. Hotel manager and staff is useless.'}, {'Review_Rating': '1.0', 'Review_Heading': 'Horrible”', 'Review_Body': 'Nothing'}, {'Review_Rating': '6.0', 'Review_Heading': 'Pleasant”', 'Review_Body': 'Ok ok'}, {'Review_Rating': '1.0', 'Review_Heading': 'Horrible place .. do not stay here”', 'Review_Body': 'Nothing'}], 'price': '1,355', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/318877191.jpg?k=80ca7790fc0c1abdc8813a01c5f33a0f1601eae53a69c6a733b4a71abec54aed&o=', 'room_size': '14m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Mobile hotspot device', 'Telephone', 'Air conditioning', 'Separate dining area', 'Trash cans', 'Closet', 'Clothes rack', 'Ironing facilities', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/fabhotel-srk-platinum-inn/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=3&los=1&searchrequestid=d35f22ba-841e-4f2b-a2e1-56ab44e04d05'}"
162,"{'Location': '923,1st  Bock, 1st Main Koramangala, Kormangala, Bangalore, India, 560034', 'overall_rating': 'Select your room', 'Name': 'S K RESIDENCY', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Worst place to stay”', 'Review_Body': 'Nothing'}, {'Review_Rating': '1.0', 'Review_Heading': 'Waste of money and time.”', 'Review_Body': 'Only two staffs were good.'}, {'Review_Rating': '1.0', 'Review_Heading': 'i would not recommend and would never come to this place for stay it looked like a protitute place to stay”', 'Review_Body': 'broken taps no connection of wifi no water or any kind of service\nhave to get everything by yourself'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing went well. Experience ws very horrible. We booked an ac room but they gave us a room were ac was not at all in wrkng conditions. So whole nite we need to stay without ac in this hot weather and even fan was also not wrkng well. I will never recommend anyone to stay here. And the behaviour of the staff is very pathetic. They talk non sense with customers.'}], 'price': '1,085', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/max500/371323094.jpg?k=ef8c90a810bc301e0e3916df4ef4628d891fcda67ca6ce9d55d766664b80763b&o=', 'room_size': '111m²', 'amenities': ['Outdoor view', 'Bathtub', 'Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/s-k-residency/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=d35f22ba-841e-4f2b-a2e1-56ab44e04d05'}"
163,"{'Location': 'B D A Layout ,660,Domlur Layout , Domlur, Marathahalli, Bangalore, India, 560008', 'overall_rating': '8.9', 'Name': 'Royal wood Premier', 'reviews': [{'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'Helpful Staff'}], 'price': '999', 'img_link': 'https://pix8.agoda.net/hotelImages/37184259/612545976/440634fff739b88e2fb439b801ff2583.png?ce=0&s=1024x768', 'room_size': '0', 'amenities': ['Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/royal-wood-premier/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=d35f22ba-841e-4f2b-a2e1-56ab44e04d05'}"
164,"{'Location': '86 1st Cross Road 1st Block Koramangala, #79 2nd main, 1st block Near ICICI Bank , next to Barbeque Nation, Kormangala bangalore 560034, Kormangala, Bangalore, India, 560034', 'overall_rating': '10', 'Name': 'Elite Premium Homes', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Best Hotel”', 'Review_Body': 'One of the best hotel, good staff and value for the money. '}], 'price': '1,869', 'img_link': 'https://pix8.agoda.net/hotelImages/33804217/0/4f22bf9100d5b6b169611255c0aa7a2d.jpg?ce=0&s=1024x768', 'room_size': '19m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Fan', 'Linens', 'Mosquito net', 'Wake-up service', 'Free bottled water', 'Kitchenware', 'Desk', 'Trash cans', 'Closet', 'Individual air conditioning', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/elite-premium/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=d35f22ba-841e-4f2b-a2e1-56ab44e04d05'}"
165,"{'Location': 'Dispensary Road, 61/12, 2nd main road, near Citizen Hospital, Bangalore City Center, Bangalore, India, 560002', 'overall_rating': '5.3', 'Name': 'RRR Residency', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Acceptable”', 'Review_Body': 'Hotel is surrounded by auto repairing shops, services are very room, even they don’t come for cleaning the room. We have to remind many times for cleaning, changing room. Wi-Fi issue, hot water etc. '}], 'price': '1,080', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/max500/394666427.jpg?k=353b81e3a2f52407d3f48b3b2a27da05ab207e4b7295e46bb64139e9c64d2f8b&o=', 'room_size': '14m²', 'amenities': ['Outdoor view', 'Shower and bathtub', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Walk-in shower', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Fan', 'Linens', 'Wake-up service', 'Tile/marble flooring', 'Closet', 'Clothes rack', 'Accessible by elevator'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/rrr-residency-h35080492/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
166,"{'Location': '#148/2, 20th Main Road, 2nd Cross Corner Building, 1st Stage BTM Layout, Gottigere, Bangalore, India, 560029', 'overall_rating': '6.9', 'Name': 'Orel Inn', 'reviews': [{'Review_Rating': '7.6', 'Review_Heading': 'Excellent”', 'Review_Body': 'The ambience is good '}], 'price': '2,967', 'img_link': 'https://pix8.agoda.net/hotelImages/2170899/-1/795aabd06cdc6c3090354cdd5f854c5d.jpg?ca=13&ce=1&s=1024x768', 'room_size': '28m²', 'amenities': ['2 single beds', 'City view', 'Balcony/terrace', 'Non-smoking', 'Shower', 'Shared bathroom', 'Free Wi-Fi', 'Accessible vanities', 'Roll-in shower', 'Additional toilet', 'Cleaning products', 'Hair dryer', 'Mirror', 'Toiletries', 'Towels', 'Walk-in shower', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Adapter', 'Air conditioning', 'Alarm clock', 'Blackout curtains', 'Daily newspaper', 'Fan', 'Hand sanitizer', 'Linens', 'Mosquito net', 'Private entrance', 'Sleep comfort items', 'Slippers', 'Soundproofing', 'Wake-up service', 'Coffee/tea maker', 'Dining table', 'Dishwasher', 'Free bottled water', 'Mini bar', 'Desk', 'High floor', 'Interconnecting room(s) available', 'Seating area', 'Separate dining area', 'Tile/marble flooring', 'Trash cans', 'Window', 'Wooden/parqueted flooring', 'Closet', 'Clothes dryer', 'Clothes rack', 'Ironing facilities', 'Accessible by elevator', 'Fire extinguisher', 'First aid kit', 'Individual air conditioning', 'Safety/security feature', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/orel-inn_4/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
167,"{'Location': 'Bangalore City Center, Bangalore, India', 'overall_rating': 'Select your room', 'Name': 'Sterling Living Space, Residency Road', 'reviews': [{'Review_Rating': '8.3', 'Review_Heading': 'Review Sterling”', 'Review_Body': 'Great Breakfast, Spacious, clean,'}, {'Review_Rating': '3.0', 'Review_Heading': '民家をホテルとして営業している宿泊施設”', 'Review_Body': 'スタッフは親切でした。'}], 'price': '3,020', 'img_link': 'https://pix8.agoda.net/hotelImages/276/276345/276345_13100413390016886908.jpg?ca=13&ce=1&s=1024x768', 'room_size': '18m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'Shower', 'Kitchenette', 'Free Wi-Fi', 'Cleaning products', 'Hair dryer', 'Toiletries', 'Towels', 'DVD/CD player', 'Free Wi-Fi in all rooms!', 'On-demand movies', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Alarm clock', 'Daily newspaper', 'Fan', 'Hand sanitizer', 'Linens', 'Sleep comfort items', 'Coffee/tea maker', 'Dining table', 'Free bottled water', 'Full kitchen', 'Mini bar', 'Refrigerator', 'Wine glasses', 'Desk', 'Seating area', 'Separate dining area', 'Sofa', 'Tile/marble flooring', 'Trash cans', 'Closet', 'Ironing facilities', 'Trouser press', 'Washing machine', 'Accessible by elevator', 'Accessible by stairs', 'Fire extinguisher', 'Individual air conditioning', 'In-room safe box', 'Private apartment in building', 'Safety/security feature', 'Semi-detached'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/sterling-living-space-residency-road/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
168,"{'Location': 'C/O HOTEL GREEN TREE NO 44 1ST MAIN RD GOKULA 1ST STAGE, Rajajinagar, Bangalore, India, 560054', 'overall_rating': '8.6', 'Name': 'HOTEL GREEN TREES', 'reviews': [{'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'okay'}, {'Review_Rating': '9.0', 'Review_Heading': 'Overall it was very good experience”', 'Review_Body': 'Hospitality management'}, {'Review_Rating': '9.0', 'Review_Heading': 'Good”', 'Review_Body': 'The room decorum very good'}, {'Review_Rating': '10.0', 'Review_Heading': 'Our Stay was Pleasant. .”', 'Review_Body': 'Staff behaviour  is good and co-operative. Hotel is clean and hygienic.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Overall good stay during my Bangalore visit.”', 'Review_Body': 'Hotel staff are very much sincere. Quality of food and other services are also excellent. Location is very  near to my work place. Cleaning maintained properly.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Hotel was clean, staff was cooperative...overall the hotel was good'}, {'Review_Rating': '10.0', 'Review_Heading': 'Happy to stay in greentree”', 'Review_Body': 'Breakfast was clean n hygenic, overall it wad good experience.'}], 'price': '2,716', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/316230041.jpg?k=ed3ff9951584cea4481d54dcc330e4dc1ca77d4bf4c1e75e7e643cb71da3c46f&o=', 'room_size': '21m²', 'amenities': ['Outdoor view', 'Shower and bathtub', 'Free Wi-Fi', 'Additional toilet', 'Hair dryer', 'Toiletries', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Air purifier', 'Fan', 'Hand sanitizer', 'Coffee/tea maker', 'Free bottled water', 'Closet', 'Ironing facilities', 'Individual air conditioning', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-green-trees_2/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
169,"{'Location': 'Thanisandra Main Road Rachenahalli Manyatha Back Gate No 5 Opposite Road Pnt Layout 4cross, Bangalore, Devanahalli, Bangalore, India, 560077', 'overall_rating': 'Select your room', 'Name': 'Capital O Prince Venue', 'reviews': [{'Review_Rating': '6.0', 'Review_Heading': 'Booking.com conned me !!!”', 'Review_Body': 'The price quoted in booking . Com was not accepted at the hotel since they said that they are not registered with booking.com and they are not responsible for the prices mentioned here. So I had to pay extra.\n\nTHIS IS VERY BAD SINCE I BELIEVED BOOKING.COM IS A TRUSTABLE PLATFORM AND NOW IT LOOKS LIKE IT IS NOTHING MORE THAT A CON JOB!!!'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Took more money than mentioned in booking.com'}, {'Review_Rating': '9.0', 'Review_Heading': ""It's beautiful over all.”"", 'Review_Body': 'Nice'}, {'Review_Rating': '1.0', 'Review_Heading': 'sad”', 'Review_Body': 'not good'}], 'price': '1,277', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/428398565.jpg?k=914351aa57a667e4b5727df16035e76ab58a3f130e584b6d7c075e4e469b9578&o=', 'room_size': '12m²', 'amenities': ['Shower', 'Toiletries', 'Towels', 'Telephone', 'TV', 'Air conditioning', 'Fan', 'Linens', 'Trash cans'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/capital-o-prince-venue/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
170,"{'Location': 'No.83, 8th Cross , 20th Main , G-Block , Behind Indusind Bank Building Sahakara Nagar,, Devanahalli, Bangalore, India, 560092', 'overall_rating': '9.2', 'Name': 'Purple Cloud Urban', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'location'}, {'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'Less privacy'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'Friendly and helpful staff, good value for money.'}], 'price': '1,959', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/240162052.jpg?k=481011fda2be64edebe62fa27127f74953b0de96d5bfe6ff54b56b657de0296b&o=', 'room_size': '23m²', 'amenities': ['2 single beds', 'Shower', 'Free Wi-Fi', 'Hair dryer', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Fan', 'Linens', 'Sleep comfort items', 'Soundproofing', 'Wake-up service', 'Free bottled water', 'Desk', 'Tile/marble flooring', 'Closet', 'Clothes rack', 'Accessible by elevator', 'Accessible by stairs', 'Locker', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/purple-cloud-urban/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
171,"{'Location': '970 3rd Cross Road HRBR Layout,1st Block, Kalyan Nagar, HBR Layout, Bangalore, India, 560043', 'overall_rating': '9.2', 'Name': 'Athulya Residence', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Would recommend and definitely stay again!”', 'Review_Body': 'I did not try the breakfast due to working late nights but the stay was wonderful. The staff was helpful and the location was great. I only wished I had more time to stay at this location. Thank you!'}, {'Review_Rating': '8.0', 'Review_Heading': 'Happy stay”', 'Review_Body': 'Cleanliness, pleasant atmosphere to o stay'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'cleanliness'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Hospitality is very good. This facility is right choice for business travel.'}], 'price': '2,597', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/406107705.jpg?k=1dcac3728c451f2012aa33ee4ba58c8f472a70f69e90e234cddf0600f974c53f&o=', 'room_size': '18m²', 'amenities': ['City view', 'Shower and bathtub', 'Kitchenette', 'Cleaning products', 'Toiletries', 'Towels', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Alarm clock', 'Linens', 'Private entrance', 'Slippers', 'Soundproofing', 'Wake-up service', 'Coffee/tea maker', 'Dining table', 'Microwave', 'Refrigerator', 'Desk', 'Outdoor furniture', 'Seating area', 'Separate dining area', 'Wooden/parqueted flooring', 'Closet', 'Clothes rack', 'Accessible by elevator'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/athulya-residence/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
172,"{'Location': '#81/82, New Central Jail Road , Naganathapura , Hosa Road , Bangalore, Electronic City, Bangalore, India, 560030', 'overall_rating': 'Select your room', 'Name': 'Vintage inn by Pepe Hospitality', 'reviews': [{'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'The staff at the reception were friendly.'}, {'Review_Rating': '6.0', 'Review_Heading': 'Pleasant”', 'Review_Body': 'Place is good but the cleaning staff has took my moisturizer.'}, {'Review_Rating': '9.0', 'Review_Heading': 'Wonderful”', 'Review_Body': ""It's a good place to stay.\nSpecialy to mention front desk Ms megha is so supporting and helpful.\nFood services is slightly slow hopefully they will look in to it.""}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Comfortable, clean and good behaviour'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'This is one of the best place I stayed...'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': '-Clean stay and good food\r\n-Value for money'}, {'Review_Rating': '9.0', 'Review_Heading': 'Good Location for quick Access to Electronic City”', 'Review_Body': 'check-in and check-out were quick and easy'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'manager was polite'}, {'Review_Rating': '8.0', 'Review_Heading': 'Value stay”', 'Review_Body': 'Had a pleasant stay with comfy beds and excellent support staffs. The hotel is located at key location making it accessible to all nearby places. Overall it is a value hotel'}, {'Review_Rating': '10.0', 'Review_Heading': 'Nice”', 'Review_Body': 'Location,  cleanliness of Rooms, Parking, Wifi'}], 'price': '1,986', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/369908446.jpg?k=16e0a122fc9367a8a2abd63112a33793861265a1b39f2b00c926cc48d940f7e9&o=', 'room_size': '125m²', 'amenities': ['TV [flat screen]', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/vintage-inn-by-pepe-hospitality/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
173,"{'Location': ""#256/13, Sadahalli Gate, Behind State Bank of India, Near Mcdonld's Bangalore International Airport Road, Devanahalli, Bangalore, India, 562157"", 'overall_rating': 'Select your room', 'Name': 'JN Guestline', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': ""Very good hotel and nearby airport\nAnd good staff Room'is very clean\nBig Room I'm happy in stay in hotel""}, {'Review_Rating': '6.0', 'Review_Heading': 'Pleasant”', 'Review_Body': 'Good staff'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Booked a room two months before stay via booking.com. on the day, few hours before I checkin, got a call from hotel saying they arrange a room in another hotel. That one is bit far from JN and no option for food except one take away menu. It was disappointing and totally unfair after a flight during night time.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Comfortable and hassle free stay at a reasonable price.”', 'Review_Body': 'The rooms were spacious and well equipped and available for a reasonable price. The staff was understanding and were flexible in adjusting the checkout time for us with no extra charge.'}, {'Review_Rating': '4.0', 'Review_Heading': 'Disappointing”', 'Review_Body': 'it’s close to the airport'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'Staff behaviour'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'None'}, {'Review_Rating': '8.0', 'Review_Heading': 'Valuable for the money”', 'Review_Body': 'Decent rooms for this price\nstaffs were helpfull\nI had a early morning flight and they arranged the taxi on time as I requested'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'Room is Good, Service also Good.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Very nice”', 'Review_Body': ""Staff is very good \nAnd Air Port near me in hotel\nAnd good Room's wonderful in stay hotel""}], 'price': '2,589', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/432425623.jpg?k=eda6b8660522a8c1f3a54ff1ebf06fa466594345a8664f0e233e8b0460067211&o=', 'room_size': '23m²', 'amenities': ['Free Wi-Fi', 'Cleaning products', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Air conditioning', 'Fan', 'Heating', 'Mosquito net', 'Private entrance', 'Fireplace', 'Seating area', 'Sofa', 'Tile/marble flooring', 'Closet', 'Ironing facilities', 'In-room safe box'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/jn-guestline/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=0a986338-6781-4735-af11-1f2c32d7a5e9'}"
